Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
G,D1,1,Finite Element Analysis,ME 470,Major,4,95
G,D1,1,Advanced Thermodynamics,ME 410,Major,3,94
G,D1,2,Materials Selection in Mechanical Design,ME 471,Major,4,93
G,D1,2,Advanced Manufacturing Processes,ME 440,Major,4,96
G,D1,2,Calculus III,MATH 241,Minor,1,97
G,D1,3,Applied Linear Algebra,MATH 415,Minor,2,99
G,D1,3,Advanced Dynamics and Controls,ME 470,Major,4,92
G,D1,3,Computer-Aided Manufacturing,ME 444,Major,4,95
G,D1,4,Thermodynamics,ME 300,Major,3,98
G,D1,4,Principles of Marketing,BUS 302,Minor,1,93
